,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
127,0.94800001,NOR,WesternDem,57634.77,5.156000137329102,2.200000047683716,6.0599999,24.1,9.719717979431152
125,0.35100001,NER,SubSaharian,644.53998,,,0.15000001,8.3999996,5.821299076080322
38,0.72399998,COL,LatAm,8761.1396,47.6619987487793,15.10000038146973,4.3800001,11.6,7.201298713684082
51,0.73900002,ECU,LatAm,7259.52,15.77499961853027,19.10000038146973,3.8199999,9.0,9.161087989807127
185,0.51899999,TZA,SubSaharian,1416.3,43.88000106811523,37.70000076293945,4.1999998,16.299999,5.580115795135498
78,0.77399999,IRN,NorthAfrica,12889.28,75.1500015258789,15.10000038146973,0.029999999,11.7,6.894922256469727
54,0.44100001,ETH,SubSaharian,900.77002,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865
120,0.55500001,NPL,SouthAsia,1462.08,28.17499923706055,33.59999847412109,0.27000001,24.6,5.797225952148438
29,0.514,CMR,SubSaharian,2658.51,,61.09999847412109,6.1900001,18.799999,4.103671550750732
192,0.49900001,YEM,NorthAfrica,2170.9299,,46.29999923706055,0.039999999,,5.636990070343018
105,0.70099998,MDV,SouthAsia,13349.76,0.335999995470047,,1.92,,13.7335205078125
110,0.75800002,MEX,LatAm,13609.42,119.7129974365234,13.89999961853027,5.2600002,14.5,6.296421051025391
76,0.61500001,IND,SouthAsia,4256.79,,43.79999923706055,3.0699999,12.4,4.685088157653809
137,0.852,POL,EastEurope,19990.939,38.01800155639648,4.300000190734863,10.71,29.4,6.350246429443359
91,0.79900002,KWT,NorthAfrica,64342.711,3.999000072479248,9.5,0.02,,3.042368412017822
82,0.88099998,ITA,WesternDem,32931.672,60.78300094604492,3.200000047683716,7.5599999,24.200001,9.247918128967283
70,0.414,GIN,SubSaharian,993.83002,11.74499988555908,65.19999694824219,0.22,,5.644797801971436
169,0.55299997,SYR,NorthAfrica,4284.4199,,14.19999980926514,0.75999999,,3.254531145095825
26,0.40599999,BDI,SubSaharian,663.57001,,66.9000015258789,4.1599998,,7.535565376281738
149,0.565,STP,SubSaharian,2150.55,,,5.6900001,,8.353466033935547
8,0.93699998,AUS,WesternDem,38611.949,23.62100028991699,4.099999904632568,9.71,16.0,9.422300338745115
144,0.493,RWA,SubSaharian,1440.39,10.19999980926514,38.79999923706055,8.3400002,,7.531550884246826
115,0.64499998,MAR,NorthAfrica,3999.5601,33.17900085449219,26.79999923706055,0.43000001,22.0,5.907778263092041
4,0.53100002,AGO,SubSaharian,3771.2,25.78899955749512,99.5,8.3299999,,3.30698299407959
178,0.68800002,TKM,EastEurope,13217.39,,,2.9000001,,2.067386150360107
34,0.39399999,TCD,SubSaharian,1651.05,,89.4000015258789,0.63999999,,3.621164321899414
108,0.51300001,MRT,SubSaharian,2223.01,3.36899995803833,64.80000305175781,0.0099999998,22.299999,3.772699117660523
71,0.63800001,GUY,Caribbean,2042.8199,0.7559999823570251,29.0,7.6399999,,5.247803688049316
151,0.491,SEN,SubSaharian,1527.99,,45.20000076293945,0.25999999,11.1,4.664971828460693
159,,SOM,SubSaharian,1436.74,,,0.0,,
62,0.76800001,GEO,EastEurope,7148.5698,3.730000019073486,17.79999923706055,6.1300001,30.0,7.416659355163574
63,0.44999999,GMB,SubSaharian,1601.88,,49.20000076293945,3.4100001,,7.340400695800781
136,0.67900002,PHL,SouthEastAsia,3953.1001,100.1490020751953,23.5,4.52,26.700001,4.709985256195068
175,0.83600003,ARE,NorthAfrica,20310.109,,7.199999809265137,1.91,,3.643985748291016
79,0.64899999,IRQ,NorthAfrica,4178.2598,32.57799911499023,,0.17,,5.538873195648193
43,0.82300001,HRV,EastEurope,18020.41,4.23799991607666,4.0,12.14,36.0,7.803241729736328
57,0.73400003,FJI,Pacific,3848.72,0.8799999952316284,,,26.5,4.487498760223389
61,0.69400001,GAB,SubSaharian,14525.28,,42.40000152587891,8.8599997,,3.437471628189087
12,0.57499999,BGD,SouthAsia,1796.64,154.6950073242188,33.09999847412109,0.0099999998,21.799999,2.818998575210571
135,0.73699999,PER,LatAm,9227.1504,30.80900001525879,14.10000038146973,5.3800001,,5.473034858703613
89,,PRK,EastAsia,1727.8199,,,3.3499999,,
98,0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,13.19999980926514,0.0,,4.968935012817383
161,0.50700003,ZWE,SubSaharian,15997.67,12.45899963378906,55.70000076293945,6.5,,6.439471244812012
174,0.77899998,TTO,Caribbean,22089.16,1.353999972343445,18.39999961853027,6.9400001,,5.933197021484375
126,0.52499998,NGA,SubSaharian,2246.8201,160.3419952392578,77.80000305175781,8.3000002,8.8999996,3.668798446655273
68,0.75099999,GRD,Caribbean,8314.5596,,,8.4200001,,6.09761381149292
166,0.54100001,SWZ,SubSaharian,4110.0498,1.105999946594238,55.70000076293945,5.1999998,10.2,9.25193977355957
73,0.62300003,HND,LatAm,3303.1399,,19.39999961853027,2.8699999,18.9,8.72268009185791
95,0.495,LSO,SubSaharian,1539.79,,74.19999694824219,2.3900001,25.4,10.61767673492432
131,0.54799998,PAK,SouthAsia,2855.55,186.1900024414063,69.30000305175781,0.039999999,22.6,2.613916397094727
101,0.89600003,LUX,WesternDem,61404.48,0.550000011920929,1.700000047683716,11.12,24.4,6.937873363494873
111,,MCO,WesternDem,108481.13,,,,,4.337683200836182
46,0.875,CZE,EastEurope,23847.08,10.51200008392334,3.099999904632568,12.68,33.400002,7.410911560058594
74,0.83399999,HUN,EastEurope,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.400781154632568
55,0.41800001,ERI,SubSaharian,1007.28,,,0.62,,3.338293075561523
5,0.78399998,ATG,Caribbean,12257.71,,,8.5600004,,5.541683197021484
165,0.72299999,SUR,Caribbean,6049.1499,0.546999990940094,18.5,6.3200002,,5.687469959259033
40,0.58999997,COG,SubSaharian,2369.8401,,,3.8199999,18.5,5.151411533355713
45,0.85399997,CYP,NorthAfrica,27207.07,0.8579999804496765,2.5,9.04,,7.367611408233643
162,0.88200003,ESP,WesternDem,31086.35,46.45500183105469,3.799999952316284,9.25,30.299999,9.02988624572754
150,0.84500003,SAU,NorthAfrica,20872.711,30.77000045776367,7.400000095367432,0.090000004,17.1,4.684084892272949
153,0.78100002,SYC,SubSaharian,9583.3203,0.0900000035762787,11.19999980926514,9.7200003,26.700001,3.369816780090332
130,0.78299999,PLW,Pacific,9392.5996,0.0179999992251396,,,,9.021533012390137
152,0.77499998,SRB,EastEurope,11343.92,7.166999816894531,5.699999809265137,9.0900002,42.099998,10.36881160736084
22,0.514,SLB,Pacific,2113.0601,0.5619999766349792,,0.99000001,,5.05106258392334
65,0.57499999,GHA,SubSaharian,2584.6001,,48.59999847412109,1.64,6.3000002,3.557291984558106
189,0.69700003,UZB,EastEurope,7370.7202,29.74600028991699,,2.8299999,13.3,5.838521957397461
